coordinate,value2010,value2011,value2012,value2013,value2014,value2015,value2016,value2017,value2018,value2019,value2020,value2021,value2022,value2023,ADM3_1,ADM2_1,distance_to_water,normalized_distance_to_water,distance_to_whole_line
"(np.float64(-12.520080904172781), np.float64(17.007036572160548))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Bou Lahrath,Barkéol,579.0605406113098,0.27568703719993704,0.3170437203648477
"(np.float64(-12.519463620222165), np.float64(17.006542745000054))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Bou Lahrath,Barkéol,578.7122121069053,0.27514229690444986,0.3169852821962535
"(np.float64(-12.461685842444387), np.float64(17.016542745000052))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Bou Lahrath,Barkéol,562.3933516304771,0.24962173006728267,0.27270450526429346
"(np.float64(-12.40896979306167), np.float64(16.9267896585803))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Bou Lahrath,Barkéol,522.8392170688801,0.18776422866737583,0.3202270203606667
"(np.float64(-12.386624114049326), np.float64(16.83666620179018))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Bou Lahrath,Barkéol,497.4528765868546,0.14806330715031052,0.39173875021080706
"(np.float64(-12.371685842444386), np.float64(17.016542745000052))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Bou Lahrath,Barkéol,535.7204825208383,0.20790884577399538,0.22394375021837115
"(np.float64(-12.36390806466661), np.float64(16.926542745000052))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Bou Lahrath,Barkéol,510.0430805218032,0.1677527420516957,0.30035161407051786
"(np.float64(-12.319463620222164), np.float64(16.836542745000056))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Gueller,Barkéol,479.669855115864,0.12025298371058663,0.3630708949813599
"(np.float64(-12.2985994226913), np.float64(17.008764967222273))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Gueller,Barkéol,514.629068216797,0.1749246279596346,0.19948928933532892
"(np.float64(-12.29390806466661), np.float64(16.837653856111167))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Gueller,Barkéol,473.7310756103476,0.11096550806112862,0.3463925191088347
"(np.float64(-12.281685842444386), np.float64(17.016542745000052))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Gueller,Barkéol,512.8866796440454,0.17219975975627858,0.1866338929719948
"(np.float64(-12.273908064666609), np.float64(16.926542745000052))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Gueller,Barkéol,487.63210993358996,0.13270491051906977,0.26238857461543846
"(np.float64(-12.273908064666607), np.float64(16.928024226481536))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Gueller,Barkéol,487.9765978988894,0.13324364471290168,0.2610225244714421
"(np.float64(-12.229463620222164), np.float64(16.836542745000056))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Gueller,Barkéol,459.67540159884254,0.08898426932389043,0.30076153708100256
"(np.float64(-12.191685842444388), np.float64(17.016542745000052))",10,10,10,10,10,10,10,10,10,16,16,16,10,10,Oudeiy Jrid,Guerou,494.839606747003,0.14397649436654913,0.15159087398589163
"(np.float64(-12.183908064666609), np.float64(16.926542745000052))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Oudeiy Jrid,Guerou,469.95374755991054,0.10505826024095577,0.20518263856483182
"(np.float64(-12.179463620222165), np.float64(16.83876496722228))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Gueller,Barkéol,451.08515927358746,0.07555025205743984,0.2678248074455548
"(np.float64(-12.160574731333275), np.float64(16.929135337592648))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Oudeiy Jrid,Guerou,466.82653965859106,0.10016771544007215,0.1862590958098539
"(np.float64(-12.139463620222164), np.float64(16.836542745000056))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Oudeiy Jrid,Guerou,444.62436708560205,0.06544641673801327,0.24666504955613466
"(np.float64(-12.121685842444386), np.float64(16.676542745000052))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Gueller,Barkéol,422.14410254879897,0.030290218518328933,0.3291484769843075
"(np.float64(-12.101685842444386), np.float64(17.016542745000052))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,Kamour,Guerou,482.56008264252387,0.12477292215085255,0.08383593837045972
"(np.float64(-12.093908064666609), np.float64(16.926542745000052))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Oudeiy Jrid,Guerou,457.755071461268,0.08598112374910066,0.14680690838921068
"(np.float64(-12.088722879481423), np.float64(16.839752621543266))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Oudeiy Jrid,Guerou,438.947551357238,0.05656861822829123,0.21918621768616725
"(np.float64(-12.07390806466661), np.float64(16.677283485740798))",10,10,10,10,10,10,10,10,10,10,10,10,10,10,Oudeiy Jrid,Guerou,416.8376638381521,0.02199164129977819,0.28717563918690137
"(np.float64(-12.06971053380241), np.float64(17.115431633888942))",16,16,16,16,16,16,16,16,16,16,16,16,16,16,El Ghaira,Guerou,513.2308227093665,0.17273795457158203,0.004481866934617095
