coordinate,GPP_2010,GPP_2011,GPP_2012,GPP_2013,GPP_2014,GPP_2015,GPP_2016,GPP_2017,GPP_2018,GPP_2019,GPP_2020,GPP_2021,GPP_2022,GPP_2023,Land_Cover_2010,Land_Cover_2011,Land_Cover_2012,Land_Cover_2013,Land_Cover_2014,Land_Cover_2015,Land_Cover_2016,Land_Cover_2017,Land_Cover_2018,Land_Cover_2019,Land_Cover_2020,Land_Cover_2021,Land_Cover_2022,Land_Cover_2023,ADM3_1,ADM2_1,distance_to_water,normalized_distance_to_water,distance_to_whole_line
"(np.float64(-12.520080904172781), np.float64(17.007036572160548))",3010,1149,2351,2558,1850,2229,3335,1680,2330,2502,3016,2049,3813,2698,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Bou Lahrath,Barkéol,579.0605406113098,0.27568703719993704,0.3170437203648477
"(np.float64(-12.519463620222165), np.float64(17.006542745000054))",2422,1536,2637,2135,1581,1958,2647,1568,1810,1645,2829,1525,3220,1966,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Bou Lahrath,Barkéol,578.7122121069053,0.27514229690444986,0.3169852821962535
"(np.float64(-12.461685842444387), np.float64(17.016542745000052))",2687,1202,2035,2003,1752,1809,2359,1208,1989,2029,3010,1591,3175,2172,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Bou Lahrath,Barkéol,562.3933516304771,0.24962173006728267,0.27270450526429346
"(np.float64(-12.40896979306167), np.float64(16.9267896585803))",2524,1281,1677,2261,1649,1668,2479,1328,1598,1856,2757,1498,3124,2128,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Bou Lahrath,Barkéol,522.8392170688801,0.18776422866737583,0.3202270203606667
"(np.float64(-12.386624114049326), np.float64(16.83666620179018))",2695,1412,2173,2034,1531,1603,2578,1576,1955,2064,3311,1836,3740,2551,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Bou Lahrath,Barkéol,497.4528765868546,0.14806330715031052,0.39173875021080706
"(np.float64(-12.371685842444386), np.float64(17.016542745000052))",3316,1217,2606,2441,1718,2454,3161,1928,2125,2321,3549,1680,3634,2378,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Bou Lahrath,Barkéol,535.7204825208383,0.20790884577399538,0.22394375021837115
"(np.float64(-12.36390806466661), np.float64(16.926542745000052))",3096,1673,2343,2514,2009,2097,2941,1750,2128,2176,3314,1968,3527,2404,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Bou Lahrath,Barkéol,510.0430805218032,0.1677527420516957,0.30035161407051786
"(np.float64(-12.319463620222164), np.float64(16.836542745000056))",2486,1250,1962,1877,1520,1752,2473,1266,1794,1712,2811,1416,3257,2012,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Gueller,Barkéol,479.669855115864,0.12025298371058663,0.3630708949813599
"(np.float64(-12.2985994226913), np.float64(17.008764967222273))",2529,1236,2112,1948,1648,1795,2579,1362,1675,1607,2697,1644,3282,2077,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Gueller,Barkéol,514.629068216797,0.1749246279596346,0.19948928933532892
"(np.float64(-12.29390806466661), np.float64(16.837653856111167))",2793,1285,1985,1970,1463,1761,1984,1083,1535,1387,2507,1528,2863,1900,10,10,10,10,10,10,10,10,10,10,10,10,10,10,Gueller,Barkéol,473.7310756103476,0.11096550806112862,0.3463925191088347
